feature	cluster	vt_score
C1GALT1C1L	5	2.0777390768946145
C1QA	5	3.229105121001778
C1QC	5	3.405272218444558
C1QL1	5	3.3566335555912548
C1QL2	4	2.09778084298409
C1QL3	1	3.8643275199195464
C1QL4	5	2.859417522928336
C1QTNF1	2	2.803481209419422
C1QTNF12	3	2.462086048073068
C1QTNF2	5	2.2617386742526855
C1QTNF4	1	2.787654898746036
C1QTNF5	5	2.318819827011305
C1QTNF8	1	3.8430074733163457
C1QTNF9B	1	2.5426182861812356
C1orf105	4	2.6692334905597432
C1orf115	1	2.2790009761696126
C1orf127	1	3.2130675454170197
C1orf141	5	2.260356706693356
C1orf158	5	2.0932260302138532
C1orf162	1	2.4768216757656942
C1orf186	1	2.0432655018707426
C1orf189	5	2.071751813652765
C1orf194	5	2.9072421853826538
C1orf210	1	2.2085777363296915
C1orf226	5	3.3068360404670267
C1orf228	1	3.1849703170706105
C1orf61	4	2.2888053696388577
C1orf68	1	2.70870966168561
C1orf87	5	3.773065374729841
C1orf94	5	2.393053736954964
C2	5	4.009617299065809
C20orf141	3	2.0516750978256044
C20orf144	1	3.8324700273590913
C20orf173	1	3.5446920497678147
C20orf204	1	3.223320784592882
C21orf140	4	2.05158807621009
C21orf62	2	4.082052220900967
C2CD4B	2	2.2963989481128833
C2CD4C	1	2.6270012485204375
C2CD4D	1	2.4247146204989347
C2orf15	1	2.471167585154536
C2orf54	1	2.145631189876839
C2orf72	4	2.4732328549142393
C2orf80	2	3.035715846502746
C2orf82	4	3.008521152505539
C2orf88	4	3.3233560590209055
C2orf91	1	2.5715309316636596
C3	5	3.475625094768702
C3AR1	5	3.099709354441226
C3orf22	1	2.928982239264931
C3orf35	1	2.360993108872106
C3orf52	3	2.4408872613736015
C3orf56	1	2.4234654762214882
C3orf67	5	2.71849445054856
C3orf80	5	2.295309603669761
C3orf84	1	2.711474658143334
C4BPB	1	2.2845666845706365
C4orf19	2	2.3623740983805708
C4orf26	1	3.730839224465014
C4orf48	5	2.4297376966416544
C5AR1	1	2.1026685455480005
C5AR2	1	3.337620698153445
C5orf38	5	2.300278868282586
C5orf46	3	3.916905627573591
C5orf60	1	2.378457058457942
C5orf67	2	2.7421866128374908
C6	1	3.0737306175711643
C6orf10	1	2.564470377998954
C6orf15	2	2.0274984248316477
C6orf201	1	3.2974093287155313
C6orf223	1	3.6392174506032773
C6orf226	5	3.344858463314206
C6orf229	1	2.5058018829864848
C6orf52	4	2.1422448149002196
C7orf33	1	2.0842090852177133
C7orf34	1	3.0151161518402247
C7orf57	5	2.426110988011272
C7orf61	4	2.917878643670332
C7orf72	1	3.4229453246569888
C8B	1	2.6002632458145425
C8G	1	2.5523887096559648
C8orf46	5	2.248514454392238
C8orf74	1	2.345157463923155
C8orf86	1	4.578434371871797
C8orf89	4	2.2909458766351674
C9orf129	4	2.916885502126887
C9orf131	1	2.73753269490656
C9orf135	1	2.0408390488731096
C9orf153	1	2.75597794937571
C9orf172	1	2.134833893294827
C9orf24	1	4.770336131619836
C9orf92	1	2.9386750882377077
CA11	1	2.3483718726217484
CA13	5	2.458114907490311
CA3	5	2.459217344583741
CA7	1	3.3946973938211644
CABP1	1	3.602628874579761
CABP4	5	2.082065266431683
CABP7	1	2.6677395743431727
CACNA1A	1	2.5293313572351606
CACNA1E	1	2.940752489596159
CACNA1F	1	3.8573571955074333
CACNA1G	1	2.119940666391751
CACNA1I	1	3.7250889819958615
CACNA1S	1	2.4273924932906787
CACNA2D3	1	3.1579731087208676
CACNA2D4	1	2.5639715546694597
CACNB2	2	2.0871335053883247
CACNB4	1	3.1421963079595994
CACNG4	5	2.026222656957566
CACNG5	2	2.0121668349338138
CACNG6	5	2.141181028335558
CADM2	4	2.0670057346087884
CADM3	5	3.7023334736823985
CAGE1	1	3.788322197488843
CALB1	1	2.150218670150813
CALCA	1	2.1312814029419864
CALCRL	5	3.2497121808830363
CALHM1	1	3.876821776154216
CALHM2	2	2.234417260471335
CALHM3	1	2.1855627165070466
CALML6	1	4.3162183447815
CALN1	4	2.326760151629749
CAMK1G	1	2.274178113069195
CAMK2A	1	2.168189478087719
CAMK2B	1	2.058594576593673
CAPG	5	3.0387996366016847
CAPN3	1	3.989117984545446
CAPN5	2	3.020481794310357
CAPN8	1	2.8875624084882836
CAPNS2	1	3.3803535155919953
CAPS	5	2.7918040107470103
CARD16	5	2.040544177094063
CARD18	4	4.230405373060804
CARD6	5	2.7168628541533697
CARD9	1	2.6765271434588866
CARMIL2	1	4.719113803316105
CARNS1	1	2.8197290597906584
CASP1	5	2.4348022238567704
CASP4	5	2.068696209063348
CASP5	5	3.4601224777589312
CASP6	3	2.0269109300502937
CASQ1	4	2.198059440103722
CASQ2	4	2.445660982045424
CASZ1	5	2.0082131706314406
CATIP	1	2.8521069055966084
CATSPER1	3	3.1207159772070185
CATSPER2	1	5.737395026382248
CATSPER4	1	3.0766928567030933
CATSPERB	5	3.329761860631858
CATSPERD	1	2.7243383051455705
CATSPERZ	4	3.106611086548139
CAV1	2	2.30329122162781
CAV2	5	2.8777720385677283
CAVIN3	2	2.0932217419493853
CBFA2T3	1	2.0675044612794666
CBLC	3	2.074586860639908
CBLN1	1	2.333406078321638
CBLN2	4	3.099275943368561
CBS	4	4.336605172055664
CBX2	4	3.209557875144151
CC2D2B	1	2.4181921181779686
CCBE1	1	2.8312217307930547
CCDC102A	3	2.9093421169108122
CCDC105	1	2.61538351784021
CCDC114	1	3.120606666879424
CCDC116	1	4.692564203924599
CCDC129	2	2.0457016270254273
CCDC13	4	2.1728287572018887
CCDC136	4	2.8473771214018653
CCDC140	5	2.6673940749462943
CCDC141	4	2.567382652832986
CCDC144NL	1	2.693016793148576
CCDC146	4	3.916893328493838
CCDC155	1	2.0632372779218007
CCDC158	5	2.257167946805697
CCDC160	5	2.0396089702303377
CCDC163	4	2.6977190067012238
CCDC166	1	2.953782832833581
CCDC169	4	2.995919782800374
CCDC169-SOHLH2	5	2.197432154481369
CCDC17	1	4.53390767699599
CCDC170	5	2.3387055033678257
CCDC173	4	2.7011415244459416
CCDC177	1	2.3847772699164262
CCDC178	1	2.3235279076284625
CCDC180	1	4.18956635409315
CCDC184	5	2.0948481348097676
CCDC185	5	3.085357287420772
