feature	cluster	vt_score
APOC4	3	-2.9440573583930276
APOL1	4	-2.3729807906078335
APOM	1	-2.7300583659535893
AQP1	3	-4.611214562391585
AQP12A	2	-2.841377041281501
AQP5	3	-4.227314213049589
AR	1	-2.4852318864709506
ARAP2	3	-4.802412272176
ARC	3	-2.0806659350245122
ARG1	3	-3.7483866706048254
ARG2	4	-2.829403616750339
ARHGAP19-SLIT1	3	-3.1181662013953484
ARHGAP28	2	-2.2776918033767215
ARHGAP30	3	-7.925413578918294
ARHGAP36	3	-4.661042418658972
ARHGAP4	3	-6.343610963728998
ARHGAP40	3	-3.6443092080642536
ARHGAP45	3	-5.983867817925559
ARHGAP9	3	-6.741973358980635
ARHGEF16	2	-2.593521461928904
ARID3C	2	-2.166902798360074
ARL11	3	-7.7460968769794984
ARL5C	2	-3.4138172808144636
ARMC12	2	-2.382705353386073
ARPC1B	4	-2.5525463074713794
ARPP21	3	-6.25056403689382
ARSF	3	-2.885752322041161
ART1	3	-3.1300121007364137
ART3	3	-4.252795955124089
ASB10	2	-3.049412649671086
ASB16	2	-2.123576561337544
ASB4	3	-5.38040477900755
ASB5	3	-2.0111573889379226
ASCL2	3	-2.760036324347235
ASCL4	3	-2.385553551400202
ASGR2	3	-6.56584862707597
ASIC3	2	-4.866722827692648
ASTN1	3	-6.219614206059232
ATF3	4	-2.3028578952348435
ATOH8	2	-2.4368198406526402
ATP11B	5	-2.2865266020835877
ATP13A4	3	-5.637329867079744
ATP6V1C2	4	-2.2809444763187847
ATP6V1G2	3	-3.4927624348769895
ATP8A1	3	-5.07680513893171
ATP8B1	4	-3.4001144985828526
AXDND1	3	-2.711838306439563
AZGP1	3	-3.4879025876368264
B3GAT1	3	-4.848378141761173
B3GNT7	3	-3.4115271003959515
BANF2	3	-2.3152491293962916
BANK1	3	-2.6269754237129317
BARX2	3	-3.60283723941332
BASP1	3	-2.700514145384183
BATF	3	-5.7416768056932455
BCAN	3	-4.873180472024768
BCL2A1	3	-5.512246447627346
BCL6B	3	-6.121806720066647
BDKRB1	4	-2.85726377413957
BEGAIN	3	-2.619287570567497
BEND2	3	-2.546382279559515
BEND6	3	-3.8874058010799306
BEST3	3	-4.463834469581342
BEX1	3	-3.398332919586569
BEX2	3	-3.6852478135224414
BEX5	3	-4.316097813438207
BGN	4	-2.408299329659845
BHLHE22	3	-3.9893458597180187
BHLHE40	4	-3.364296869929184
BHMT	3	-2.1643029033942884
BHMT2	3	-2.2982061335451593
BIN1	2	-4.585818158367564
BIN2	3	-7.898958977279548
BIRC3	4	-2.502463676376475
BLM	1	-3.1541762001243137
BLNK	3	-8.251078531108542
BMP3	2	-2.218708045302243
BMP4	4	-2.3377525075833607
BMP6	3	-2.3858453896998126
BMP7	3	-3.4801899480220304
BMPER	3	-2.5819858396067032
BMPR1B	3	-5.837291043488705
BMX	3	-2.642003045755059
BNC2	4	-2.3757944661649617
BPI	3	-2.3429959577109662
BRINP1	3	-2.01356876973715
BRINP3	3	-3.784445171902287
BTG4	5	-2.3020967276363367
BTK	3	-7.3898691410378206
BTLA	3	-4.2852984559788885
BTNL3	3	-2.3906366034340842
BTNL9	3	-7.183546863656158
BX088645.1	4	-3.1810365006869015
C10orf105	3	-6.018494175499102
C10orf55	4	-2.5703147232697874
C10orf90	3	-2.5169612425440415
C11orf87	2	-2.219828415276269
C11orf88	3	-2.1655001171486292
C14orf39	5	-2.177339097453221
C15orf48	3	-2.0087136827042458
C15orf59	3	-3.1328706982804957
C16orf54	3	-7.126436014969928
C16orf74	2	-2.2709878875310427
C16orf82	3	-2.512521370176371
C16orf96	3	-4.438830660931424
C17orf113	3	-2.8666180399377295
C17orf67	2	-4.117439668577633
C17orf74	2	-3.29024647430822
C17orf98	2	-2.2620347255688653
C17orf99	2	-3.6653824018751213
C18orf63	5	-2.0368602678720076
C19orf18	2	-2.4592086045396084
C1QB	3	-7.750216930129804
C1QTNF3	3	-2.6454957871895672
C1QTNF7	3	-2.331719965052294
C1QTNF9	3	-2.3116256448328025
C1RL	4	-4.719355287526783
C1S	4	-4.035873675016664
C1orf21	3	-4.426994235458792
C1orf50	1	-2.3038356254938503
C1orf64	3	-7.9829094031893
C20orf202	3	-4.072426168305597
C22orf31	3	-2.7299242581600005
C22orf42	3	-2.1078384023474435
C2CD4A	4	-3.0620603800945454
C2orf16	3	-3.5170490362635576
C2orf40	3	-5.445306990971156
C2orf70	3	-2.3665663461182205
C2orf73	3	-4.056525441432221
C2orf78	2	-2.67865770340588
C2orf83	3	-4.151823000746654
C3orf14	3	-3.1503970984468186
C3orf20	3	-2.0537053073569633
C3orf36	4	-2.2572100812498723
C3orf70	3	-3.3365601741859923
C4A	3	-4.729286671904791
C4B	3	-5.1538436670567425
C4orf32	5	-2.5968869695280814
C4orf51	4	-2.1605340490764458
C5orf47	3	-2.1860484534614653
C5orf49	3	-4.134680583813791
C5orf58	3	-3.125899122700599
C6orf118	3	-5.474992542183672
C6orf141	4	-2.279491921755983
C7orf77	3	-2.4091830126501312
C8orf22	3	-2.9715233262838323
C8orf34	3	-2.4930914102665502
C8orf4	4	-3.297711081277255
C8orf48	4	-3.707419234063225
C9orf152	2	-2.4053883852604874
C9orf50	3	-2.791857946463004
C9orf66	3	-5.392457018099386
CA1	3	-4.068073500695933
CA10	3	-3.618436764216201
CA14	3	-2.1103247029596868
CA2	3	-5.290174010391327
CA5A	3	-6.00693080574111
CA9	4	-2.531990541528676
CABLES1	3	-3.791808684928114
CABYR	2	-2.937812138907247
CACNA1D	3	-5.168557011612827
CACNA1H	2	-2.6597845409631153
CACNA2D2	3	-3.8773241040631237
CACNG1	3	-5.1116158760534285
CACNG7	3	-3.368474817476142
CACNG8	3	-2.0364903978759976
CADM1	3	-2.2488901250825735
CADPS2	3	-3.6601631699061254
CALCB	3	-2.9997819271680863
CALCR	3	-3.0109590634377006
CALML3	2	-2.0601917273962163
CALY	2	-2.9975450694010686
CAMK4	3	-2.0776918230195425
CAMP	4	-2.1665634833343215
CAMSAP3	3	-5.0055310015946395
CAPN11	4	-2.2651670690675756
CAPN9	3	-5.413500054814317
CAPSL	2	-2.1649730968462255
CAPZA3	2	-2.260802110819262
CARD11	3	-7.336600008966102
CARTPT	2	-2.509234767520286
CASC1	3	-4.851761698193896
CASP10	3	-5.326853014083161
CASR	3	-2.8720151293530547
CASS4	3	-5.121937078916193
CATSPER3	3	-3.3619640726244273
CAVIN1	4	-3.4450741648832985
